id,opened,closed,updated,status,resp_agcy,category,req_type,req_details,address,district,neighborhood,point,source,media_url
4743642,5/13/15 20:37,,5/13/15 20:37,Open,DPW BSM Queue,Blocked Street or SideWalk,Blocked_Parking_Space_or_Strip,Dumpster blocking parking space,"41 NORFOLK ST, SAN FRANCISCO, CA, 94103",6,South of Market,"(37.77101886042, -122.413683169635)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/55541891df86b54c0784afc6/report.jpg
4743641,5/13/15 20:36,,5/13/15 20:36,Open,DPW BSM Queue,Blocked Street or SideWalk,Blocked_Parking_Space_or_Strip,Dumpster blocking parking space,"55 NORFOLK ST, SAN FRANCISCO, CA, 94103",6,South of Market,"(37.770940500296, -122.413611347396)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/55541867df86b54c0784afba/report.jpg
4743636,5/13/15 20:33,,5/13/15 20:33,Open,DPW BSM Queue,Blocked Street or SideWalk,Blocked_Parking_Space_or_Strip,Dumpster blocking parking space,"41 NORFOLK ST, SAN FRANCISCO, CA, 94103",6,South of Market,"(37.77101886042, -122.413683169635)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/555417b3df86b54c0784afae/report.jpg
4743633,5/13/15 20:33,,5/13/15 20:33,Open,DPW BSM Queue,Blocked Street or SideWalk,Blocked_Sidewalk,Residential_totter blocking sidewalk,"55 NORFOLK ST, SAN FRANCISCO, CA, 94103",6,South of Market,"(37.770940500296, -122.413611347396)",Open311,
4743632,5/13/15 20:32,,5/13/15 20:32,Open,DPW BSM Queue,Blocked Street or SideWalk,Blocked_Parking_Space_or_Strip,Dumpster blocking parking space,"43 NORFOLK ST, SAN FRANCISCO, CA, 94103",6,South of Market,"(37.771035339496, -122.413777021553)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/55541772df86b54c0784af97/report.jpg
4743631,5/13/15 20:32,,5/13/15 21:24,Open,DPW Ops Queue,Litter Receptacles,Toters_left_out_24x7,N/A,"41 NORFOLK ST, SAN FRANCISCO, CA, 94103",6,South of Market,"(37.77101886042, -122.413683169635)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5554174cdf86b54c0784af8b/report.jpg
4743628,5/13/15 20:31,,5/13/15 20:31,Open,DPW BSM Queue,Blocked Street or SideWalk,Blocked_Parking_Space_or_Strip,Dumpster blocking parking space,"41 NORFOLK ST, SAN FRANCISCO, CA, 94103",6,South of Market,"(37.77101886042, -122.413683169635)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5554170adf86b54c0784af80/report.jpg
4743625,5/13/15 20:27,,5/13/15 20:32,Open,PUC Sewer Ops,Sewer Issues,Sewage_back_up,Outofsewervent4inch,"2736 FILBERT ST, SAN FRANCISCO, CA, 94123",2,Marina,"(37.796996205671, -122.444593430519)",Voice In,
4743620,5/13/15 20:22,,5/13/15 20:25,Open,PUC Sewer Ops,Sewer Issues,Odor,From_catch_basin,"294 TRUMBULL ST, SAN FRANCISCO, CA, 94112",11,Excelsior,"(37.7307771637, -122.423994608484)",Voice In,
4743615,5/13/15 20:20,,5/13/15 20:23,Open,PUC Streetlights Queue,Streetlights,Streetlight - Other_Request_Light_Shield,Other_Request_Light_Shield on Metal Pole,"161 DOLORES ST, SAN FRANCISCO, CA, 94103",8,Mission,"(37.766873072569, -122.426348828807)",Voice In,
4743611,5/13/15 20:19,,5/13/15 20:19,Open,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - Car4door,Green - Volkswagen - Jetta - 4MPJ129,"1666 41ST AVE, SAN FRANCISCO, CA, 94122",4,Outer Sunset,"(37.755687922227, -122.500148354534)",Web Self Service,
4743609,5/13/15 20:18,,5/13/15 20:18,Open,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of GRANT AVE and HARLAN PL,3,Financial District,"(37.7900805319822, -122.405498277183)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/555413f8df86b54c0784af71/report.jpg
4743599,5/13/15 20:14,,5/13/15 20:14,Open,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Refrigerator,Intersection of ALEMANY BLVD and TINGLEY ST,8,Outer Mission,"(37.7293036142114, -122.433974390726)",Integrated Agency,
4743597,5/13/15 20:12,,5/13/15 20:12,Open,DPT - Other - G,General Requests,mta - parking_traffic_other - complaint,mta - parking_traffic_other - complaint,Intersection of CHURCH ST and DUBOCE AVE,8,Western Addition,"(37.7694561645459, -122.429128105966)",Web Self Service,https://311crm-prod.ad.sfgov.org/attachments/viewCaseNoteAttachments.jsp?caseid=4743597
4743593,5/13/15 20:10,,5/13/15 20:11,Open,Clear Channel - Transit Queue,Damaged Property,Damaged Transit_Shelter_Platform_Hazardous,Transit_Shelter_Platform_Hazardous,Intersection of EVANS AVE and NEWHALL ST,10,Bayview,"(37.7419501520778, -122.386554706039)",Voice In,
4743575,5/13/15 20:04,,5/13/15 20:05,Open,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,Intersection of HALE ST and SAN BRUNO AVE,9,Excelsior,"(37.7329633454163, -122.405909406972)",Voice In,
4743570,5/13/15 20:03,,5/13/15 20:04,Open,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,Intersection of GIRARD ST and WOOLSEY ST,9,Excelsior,"(37.7249755174741, -122.403600864193)",Voice In,
4743556,5/13/15 19:59,,5/13/15 20:00,Open,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - Car4door,BLACK - ACURA - TSX - 6BPD825,Intersection of ALAMEDA ST and RHODE ISLAND ST,10,South of Market,"(37.7686481382216, -122.402926919208)",Voice In,
4743552,5/13/15 19:58,,5/13/15 19:58,Open,DPW BSM Queue,Sidewalk or Curb,Sidewalk_Defect,Collapsed_sidewalk,"201 POST ST, SAN FRANCISCO, CA, 94108",3,Financial District,"(37.788542498281, -122.40543475679)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/55540f53df86b54c0784af5a/report.jpg
4743541,5/13/15 19:52,,5/13/15 20:29,Open,DPW BUF Queue,Tree Maintenance,Trees - Landscaping,Other,"140 GRANT AVE, SAN FRANCISCO, CA, 94108",3,Financial District,"(37.788323713115, -122.404984254631)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/55540e10df86b54c0784af35/report.jpg
4743509,5/13/15 19:42,,5/13/15 19:42,Open,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,Intersection of GEARY ST and GRANT AVE,3,Financial District,"(37.7877654083419, -122.405041518509)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/55540b89df86b54c0784aeed/report.jpg
4743500,5/13/15 19:37,,5/13/15 19:37,Open,DPW Ops Queue,Graffiti Private Property,Not_Offensive Graffiti on Private Property,Sidewalk_in_front_of_property - Not_Offensive,"1 GRANT AVE, SAN FRANCISCO, CA, 94108",3,Financial District,"(37.787023234063, -122.405040911772)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/55540a71df86b54c0784aee1/report.jpg
4743494,5/13/15 19:34,,5/13/15 19:34,Open,DPW BSM Queue,Sidewalk or Curb,Curb_or_Curb_Ramp_Defect,Curb_or_Curb_Ramp_Defect,"950 HARRISON ST, SAN FRANCISCO, CA, 94107",6,South of Market,"(37.778269317132, -122.403041720905)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/555409dedf86b54c0784aed4/report.jpg
4743489,5/13/15 19:32,,5/13/15 19:32,Open,DPW BSM Queue,Sidewalk or Curb,Curb_or_Curb_Ramp_Defect,Curb_or_Curb_Ramp_Defect,"950 HARRISON ST, SAN FRANCISCO, CA, 94107",6,South of Market,"(37.778269317132, -122.403041720905)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5554095bdf86b54c0784aec8/report.jpg
4743483,5/13/15 19:31,,5/13/15 19:59,Open,DPW BSSR Queue,Street Defects,Pavement_Defect,Pavement_Defect,"950 HARRISON ST, SAN FRANCISCO, CA, 94107",6,South of Market,"(37.778269317132, -122.403041720905)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/555408fcdf86b54c0784aeb0/report.jpg
4743479,5/13/15 19:28,,5/13/15 19:59,Open,DPW Ops Queue,Street and Sidewalk Cleaning,Hazardous Materials,Liquids - Oil/Paint/Other,"73 GEARY ST, SAN FRANCISCO, CA, 94108",3,Financial District,"(37.787495699238, -122.404702199756)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/55540854df86b54c0784ae97/report.jpg
4743474,5/13/15 19:24,,5/13/15 19:25,Open,DPW BSM Queue,Sidewalk or Curb,Missing_Side_Sewer_Vent_Cover,Missing_Side_Sewer_Vent_Cover,"4494 MISSION ST, SAN FRANCISCO, CA, 94112",11,Outer Mission,"(37.725917051669, -122.434051537735)",Voice In,
4743472,5/13/15 19:24,,5/13/15 19:24,Open,DPW Ops Queue,Street and Sidewalk Cleaning,Hazardous Materials,Liquids - Oil/Paint/Other,Intersection of GEARY ST and GRANT AVE,3,Financial District,"(37.7877654083419, -122.405041518509)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5554076adf86b54c0784ae8b/report.jpg
4743470,5/13/15 19:23,,5/13/15 19:24,Open,DPW BSM Queue,Sidewalk or Curb,Missing_Side_Sewer_Vent_Cover,Missing_Side_Sewer_Vent_Cover,"4490 MISSION ST, SAN FRANCISCO, CA, 94112",11,Outer Mission,"(37.725971060364, -122.434010699178)",Voice In,
4743462,5/13/15 19:20,,5/13/15 19:20,Open,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of 6TH ST and TOWNSEND ST,6,South of Market,"(37.7735733812597, -122.399432972534)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/55540694df86b54c0784ae7f/157798.jpg
4743461,5/13/15 19:20,,5/13/15 19:20,Open,DPT SignShop 03 Queue,Sign Repair,Sign - Bent,Other - Bent; support - OK,"70 GEARY ST, SAN FRANCISCO, CA, 94108",3,Financial District,"(37.788081487, -122.404656772)",Open311,
4743460,5/13/15 19:20,,5/13/15 19:21,Open,DPW BSM Queue,Sidewalk or Curb,Missing_Side_Sewer_Vent_Cover,Missing_Side_Sewer_Vent_Cover,"611 SILVER AVE, SAN FRANCISCO, CA, 94134",11,Excelsior,"(37.728868079905, -122.423583030984)",Voice In,
4743456,5/13/15 19:18,,5/13/15 19:19,Open,DPW BSM Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,News_rack - Not_Offensive,"4804 MISSION ST, SAN FRANCISCO, CA, 94112",11,Outer Mission,"(37.721107042776, -122.437868231536)",Voice In,
4743451,5/13/15 19:12,,5/13/15 19:12,Open,DPT SignShop 03 Queue,Sign Repair,Sign - Bent,Permit_Parking - Bent; support - Leaning,Intersection of GRANT AVE and MAIDEN LN,3,Financial District,"(37.7882303810389, -122.405131325744)",Open311,
4743446,5/13/15 19:10,,5/13/15 19:43,Open,DPW Ops Queue,Street and Sidewalk Cleaning,Hazardous Materials,Liquids - Oil/Paint/Other,"208 GRANT AVE, SAN FRANCISCO, CA, 94108",3,Financial District,"(37.788841259304, -122.405195660513)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/55540433df86b54c0784ae5b/report.jpg
4743443,5/13/15 19:08,,5/13/15 20:34,Open,311 Service Request Queue - Hold,311 External Request,Graffiti,,Intersection of MISSION ST and RUSSIA AVE,11,Excelsior,"(37.7215750980693, -122.437149539974)",Voice In,
4743440,5/13/15 19:05,,5/13/15 19:43,Open,DPW Ops Queue,Graffiti Private Property,Not_Offensive Graffiti on Private Property,Building_residential - Not_Offensive,"747 SILVER AVE, SAN FRANCISCO, CA, 94134",9,Excelsior,"(37.729038504211, -122.420460241756)",Voice In,
4743438,5/13/15 19:03,,5/13/15 19:03,Open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Concrete Pole,"130 PERRY ST, SAN FRANCISCO, CA, 94107",6,South of Market,"(37.781642254, -122.397737537)",Open311,
4743436,5/13/15 19:03,,5/13/15 19:04,Open,DPW Ops Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Signal_box - Not_Offensive,"4458 MISSION ST, SAN FRANCISCO, CA, 94112",11,Outer Mission,"(37.726349971491, -122.433724180305)",Voice In,
4743433,5/13/15 19:01,,5/13/15 19:53,Open,311 Service Request Queue - Hold,Graffiti Public Property,Offensive Graffiti on Public Property,Mail_box - Offensive,"198 FAIR OAKS ST, SAN FRANCISCO, CA, 94110",8,Mission,"(37.753739223, -122.424465266)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/55540202df86b54c0784ae43/report.jpg
4743423,5/13/15 18:57,,5/13/15 18:58,Open,DPT SignShop 11 Queue,Sign Repair,Sign - Defaced,,"4471 MISSION ST, SAN FRANCISCO, CA, 94112",11,Excelsior,"(37.726676990098, -122.433229798801)",Voice In,
4743411,5/13/15 18:53,,5/13/15 18:54,Open,PUC Sewer Ops,Sewer Issues,Sewage_back_up,Outofsewervent4inch,"1019 CASTRO ST, SAN FRANCISCO, CA, 94114",8,Noe Valley,"(37.753027821324, -122.43406917382)",Voice In,
4743399,5/13/15 18:48,,5/13/15 18:50,Open,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - Other,blue - Chevy - C10 - 6RGC096,"4411 17TH ST, SAN FRANCISCO, CA, 94114",8,Castro/Upper Market,"(37.761884501963, -122.44317475979)",Voice In,
4743385,5/13/15 18:41,,5/14/15 0:35,Open,DPW - Other - G,Sewer Issues,Water_leak,Other,Intersection of ARGUELLO BLVD and CLAY ST,2,Presidio Heights,"(37.7875205634656, -122.459323560982)",Voice In,
4743384,5/13/15 18:39,,5/13/15 18:44,Open,DPW BSM Queue,Blocked Street or SideWalk,Blocked_Sidewalk,Residential_totter blocking sidewalk,"1964 BUCHANAN ST, SAN FRANCISCO, CA, 94115",5,Western Addition,"(37.78827971113, -122.430073330626)",Voice In,
4743363,5/13/15 18:27,,5/13/15 18:32,Open,Recology_Abandoned,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of 27TH AVE and LAWTON ST,4,Outer Sunset,"(37.7575893640367, -122.485306579412)",Voice In,
4743359,5/13/15 18:25,,5/13/15 18:25,Open,DPW Ops Queue,Graffiti Private Property,Offensive Graffiti on Private Property,Building_commercial - Offensive,Intersection of JONES ST and TURK ST,6,Downtown/Civic Center,"(37.7830040965109, -122.412411848948)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5553f9b5df86b54c0784ae2a/photo_20150513_182206.jpg
4743347,5/13/15 18:20,,5/13/15 18:20,Open,DPW Ops Queue,Graffiti Private Property,Not_Offensive Graffiti on Private Property,Building_commercial - Not_Offensive,"66 8TH ST, SAN FRANCISCO, CA, 94103",6,South of Market,"(37.777337838418, -122.413913120036)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5553f856df86b54c0784ae11/photo_20150513_181908.jpg
4743335,5/13/15 18:17,,5/13/15 18:17,Open,DPW Ops Queue,Graffiti Private Property,Offensive Graffiti on Private Property,Building_commercial - Offensive,"5294 MISSION ST, SAN FRANCISCO, CA, 94112",11,Outer Mission,"(37.714748992006, -122.442679541426)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5553f7d7df86b54c0784ae04/photo_20150513_181743.jpg
4743332,5/13/15 18:17,,5/13/15 18:18,Open,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,"1245 20TH AVE, SAN FRANCISCO, CA, 94122",4,Outer Sunset,"(37.764544571266, -122.478403978052)",Voice In,
4743328,5/13/15 18:15,,5/13/15 18:15,Open,Clear Channel - Transit Queue,Damaged Property,Damaged Transit_Shelter_Ad_Kiosk,Transit_Shelter_Ad_Kiosk,Intersection of 8TH ST and MISSION ST,6,South of Market,"(37.777457521629, -122.413157758797)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5553f759df86b54c0784adf8/photo_20150513_181528.jpg
4743327,5/13/15 18:15,,5/13/15 18:15,Open,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Electronics,"2024 MISSION ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.764625069428, -122.419697307801)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5553f72ddf86b54c0784adec/photo_20150513_181457.jpg
4743326,5/13/15 18:14,,5/13/15 18:14,Open,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,"1410 15TH ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.767029500107, -122.416120589146)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5553f70edf86b54c0784ade0/photo_20150513_181443.jpg
4743324,5/13/15 18:13,,5/13/15 18:13,Open,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"1563 HYDE ST, SAN FRANCISCO, CA, 94109",3,Nob Hill,"(37.795118510425, -122.418293833002)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5553f6e2df86b54c0784add6/report.jpg
4743323,5/13/15 18:13,,5/13/15 18:26,Open,311 Service Request Queue - Hold,311 External Request,Garbage,,Intersection of BRYANT ST and STERLING ST,6,South of Market,"(37.7836926967351, -122.392839917479)",Voice In,
4743317,5/13/15 18:12,,5/13/15 18:15,Open,RPD NSA Queue,Rec and Park Requests,Park - Structural_Maintenance,Playground,"Balboa Park, , SAN FRANCISCO, CA, 94112",11,Outer Mission,"(37.72494878, -122.4446273)",Voice In,
4743312,5/13/15 18:11,,5/13/15 18:12,Open,Clear Channel - Transit Queue,Graffiti Public Property,Offensive Graffiti on Public Property,Transit_Shelter_Platform - Offensive,Intersection of FILLMORE ST and HAYES ST,5,Western Addition,"(37.7758344070154, -122.431198557278)",Twitter,https://t.co/PR24KNP4BP
4743306,5/13/15 18:10,,5/13/15 18:10,Open,Clear Channel - Transit Queue,Damaged Property,Damaged Transit_Shelter_Ad_Kiosk,Transit_Shelter_Ad_Kiosk,"84 7TH ST, SAN FRANCISCO, CA, 94103",6,South of Market,"(37.779215475, -122.411333827)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5553f613df86b54c0784adca/photo_20150513_180944.jpg
4743304,5/13/15 18:09,,5/13/15 18:14,Open,RPD NSA Queue,Rec and Park Requests,Park - Park_Patrol,Other,Intersection of CONSTANSO WAY and CRESTLAKE DR,4,Lakeshore,"(37.7351670888983, -122.488425843657)",Voice In,
4743301,5/13/15 18:09,,5/13/15 18:09,Open,DPW Ops Queue,Street and Sidewalk Cleaning,Hazardous Materials,Human Waste,"713 CLEMENTINA ST, SAN FRANCISCO, CA, 94103",6,South of Market,"(37.775125968085, -122.410854562832)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5553f5d1df86b54c0784adbd/report.jpg
4743300,5/13/15 18:08,,5/13/15 18:08,Open,DPW Ops Queue,Graffiti Private Property,Not_Offensive Graffiti on Private Property,Building_other - Not_Offensive,"84 7TH ST, SAN FRANCISCO, CA, 94103",6,South of Market,"(37.779215475, -122.411333827)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5553f5a7df86b54c0784adb1/photo_20150513_180729.jpg
4743299,5/13/15 18:07,,5/13/15 18:10,Open,DPW Ops Queue,Street and Sidewalk Cleaning,Hazardous Materials,Human Waste,Intersection of BROADWAY and LARKIN ST,3,Nob Hill,"(37.796094636865, -122.420109534058)",Voice In,
